start_i,center_i,ms,goertzel_x1000
1424,1488.0,93.0,1771.1883759256636
1428,1492.0,93.25,1645.624892381671
1432,1496.0,93.5,1799.2461723848103
1436,1500.0,93.75,1900.7250704313974
1440,1504.0,94.0,1327.9564339290814
1444,1508.0,94.25,1826.460784642605
1448,1512.0,94.5,1586.7394160354627
1452,1516.0,94.75,1894.4406783876136
1456,1520.0,95.0,1893.9941238243346
1460,1524.0,95.25,1553.1062800580185
1464,1528.0,95.5,1984.3140204289994
1468,1532.0,95.75,1691.4128156454242
1472,1536.0,96.0,2169.906352006733
1476,1540.0,96.25,2046.3926241673205
1480,1544.0,96.5,1750.472261063751
1484,1548.0,96.75,2031.1529983462235
1488,1552.0,97.0,1733.8035625541943
1492,1556.0,97.25,2270.4661214884686
1496,1560.0,97.5,2132.714196894013
1500,1564.0,97.75,1955.128069775946
1504,1568.0,98.0,2292.92346974521
1508,1572.0,98.25,1958.0145414143121
1512,1576.0,98.5,2513.8739394715712
1516,1580.0,98.75,2206.6128507153912
1520,1584.0,99.0,2113.873505156902
1524,1588.0,99.25,2427.0973923190136
1528,1592.0,99.5,2068.412179021498
1532,1596.0,99.75,2677.372455562058
1536,1600.0,100.0,2309.284861804867
1540,1604.0,100.25,1637.6338608258638
1544,1608.0,100.5,1376.103529993963
1548,1612.0,100.75,1933.0543816221912
1552,1616.0,101.0,1780.7019569616027
1556,1620.0,101.25,2186.066235618032
1560,1624.0,101.5,1679.0579497786835
1564,1628.0,101.75,1470.0088131718135
1568,1632.0,102.0,2001.0049821142816
1572,1636.0,102.25,1852.0074965075178
1576,1640.0,102.5,2131.138415254935
1580,1644.0,102.75,1696.224250174962
1584,1648.0,103.0,1658.3994653517998
1588,1652.0,103.25,2206.2549699330534
1592,1656.0,103.5,1953.813109452048
1596,1660.0,103.75,2044.2145946795408
1600,1664.0,104.0,1749.480074447829
1604,1668.0,104.25,1819.805062838578
1608,1672.0,104.5,2375.4294964660176
1612,1676.0,104.75,2038.7616511786732
1616,1680.0,105.0,2098.956471928195
1620,1684.0,105.25,1812.980357821806
1624,1688.0,105.5,1901.5962372200559
1628,1692.0,105.75,2469.946684025139
1632,1696.0,106.0,2155.6645369768407
1636,1700.0,106.25,2115.424366696522
1640,1704.0,106.5,1928.8721738392032
1644,1708.0,106.75,2180.9938078016694
1648,1712.0,107.0,2727.0782317670773
1652,1716.0,107.25,2260.3211874351628
1656,1720.0,107.5,2139.1410328326215
1660,1724.0,107.75,2002.730813212751
1664,1728.0,108.0,2329.1304771968207
1668,1732.0,108.25,3326.76615772667
1672,1736.0,108.5,2070.5904585659046
1676,1740.0,108.75,1110.6175771394726
1680,1744.0,109.0,1619.7322960472623
1684,1748.0,109.25,1958.797898348414
1688,1752.0,109.5,2911.7298046374367
1692,1756.0,109.75,2017.4977057479152
1696,1760.0,110.0,962.8492790499765
1700,1764.0,110.25,1427.5182552113706
1704,1768.0,110.5,1662.1516996478638
1708,1772.0,110.75,2642.7311173673666
1712,1776.0,111.0,1776.9049298299328
1716,1780.0,111.25,580.6459462325728
1720,1784.0,111.5,1503.944418877062
1724,1788.0,111.75,1479.2549453683325
1728,1792.0,112.0,2087.378364770644
1732,1796.0,112.25,1795.1968474510415
1736,1800.0,112.5,909.8554627162112
1740,1804.0,112.75,1379.4206305148086
1744,1808.0,113.0,1297.9610649459016
1748,1812.0,113.25,1817.7843797594414
1752,1816.0,113.5,1862.8925262927248
1756,1820.0,113.75,1596.0631944138188
1760,1824.0,114.0,1360.8875632847962
1764,1828.0,114.25,1069.661671343107
1768,1832.0,114.5,1652.404995144064
1772,1836.0,114.75,2053.6644468222626
1776,1840.0,115.0,2164.6504552716033
1780,1844.0,115.25,1594.6369987220812
1784,1848.0,115.5,871.6822444584229
1788,1852.0,115.75,1476.658846445463
1792,1856.0,116.0,2410.9373837665157
1796,1860.0,116.25,2860.476389295963
1800,1864.0,116.5,1943.60715488821
1804,1868.0,116.75,1685.062246670096
1808,1872.0,117.0,1806.8294344023477
1812,1876.0,117.25,2586.794357156045
1816,1880.0,117.5,2670.0974568442166
1820,1884.0,117.75,2155.3691997340306
1824,1888.0,118.0,1656.0262705132848
1828,1892.0,118.25,1699.2003191115234
1832,1896.0,118.5,2492.880129558093
1836,1900.0,118.75,2638.111936060464
1840,1904.0,119.0,2171.914813443247
1844,1908.0,119.25,1676.9585630411832
1848,1912.0,119.5,1783.2575174490712
1852,1916.0,119.75,2684.6372489946843
1856,1920.0,120.0,2391.4281470755573
1860,1924.0,120.25,2149.8043884809153
1864,1928.0,120.5,1952.1852461777546
1868,1932.0,120.75,1574.2230995361776
1872,1936.0,121.0,2843.650704692358
1876,1940.0,121.25,2206.590328281252
1880,1944.0,121.5,2238.543108682869
1884,1948.0,121.75,2363.771295708311
1888,1952.0,122.0,1388.2519400014266
1892,1956.0,122.25,2850.1507210238306
1896,1960.0,122.5,2203.2919389476683
1900,1964.0,122.75,2326.797380606327
1904,1968.0,123.0,2194.368317709664
1908,1972.0,123.25,1416.2651746318725
1912,1976.0,123.5,2795.7782967581475
1916,1980.0,123.75,2085.8277418732696
1920,1984.0,124.0,2210.4734839912057
1924,1988.0,124.25,988.8064319045266
1928,1992.0,124.5,898.414746976372
1932,1996.0,124.75,1840.5126673757081
1936,2000.0,125.0,1965.9494146307459
1940,2004.0,125.25,2289.3997571207624
1944,2008.0,125.5,902.5889343310838
1948,2012.0,125.75,815.8122485419074
1952,2016.0,126.0,1664.3318791682477
1956,2020.0,126.25,1840.1162125553653
1960,2024.0,126.5,2130.4069135273708
1964,2028.0,126.75,908.4488163806155
1968,2032.0,127.0,768.480461076449
1972,2036.0,127.25,1580.1300484282424
1976,2040.0,127.5,1770.661753022812
1980,2044.0,127.75,2009.5286068712408
1984,2048.0,128.0,821.5461580803264
1988,2052.0,128.25,661.8006501884032
1992,2056.0,128.5,1597.7570814420274
1996,2060.0,128.75,1607.4813423766946
2000,2064.0,129.0,1868.191309133385
2004,2068.0,129.25,933.4703819652658
2008,2072.0,129.5,613.565025152837
2012,2076.0,129.75,1386.7024351475636
2016,2080.0,130.0,1401.0585464767148
2020,2084.0,130.25,1773.3673919562993
2024,2088.0,130.5,947.3338622386377
2028,2092.0,130.75,708.4780633891916
2032,2096.0,131.0,1109.8560745469779
2036,2100.0,131.25,1344.2833147916358
2040,2104.0,131.5,1518.1862725943934
2044,2108.0,131.75,882.754638222412
2048,2112.0,132.0,729.6375700060373
2052,2116.0,132.25,216.53845431547896
2056,2120.0,132.5,621.5235580582464
2060,2124.0,132.75,470.22388934097484
2064,2128.0,133.0,699.4507970618758
2068,2132.0,133.25,673.1506557656527
2072,2136.0,133.5,337.260374339843
2076,2140.0,133.75,644.1719893097518
2080,2144.0,134.0,432.9801865742919
